    X           Y            F606W      F814W
   3413.4500   4111.3900     26.8757     23.7819
   4133.6700   4111.3600     26.1209     23.0153
   6345.4300   4110.5400     25.3367     22.5706
   7506.9800   4110.9600     20.5811     17.7024
   5794.5700   4111.7900     23.7438     20.7950
   7099.0800   4112.0400     25.5250     22.6645
   7223.3700   4112.3600     25.7716     23.0270
   6588.1900   4112.9800     24.3776     21.6152
   7081.4200   4112.5000     25.9813     22.9241
   2883.4300   4113.9100     27.3644     23.6752
   4995.5500   4113.9000     26.5259     23.4475
   5908.2800   4113.5000     26.3229     23.3259
   6463.4000   4113.6800     24.5202     21.7471
   6651.1700   4113.7700     23.7117     20.4254
   7531.0800   4114.0100     24.4304     21.7365
   4442.2100   4115.1100     25.9443     22.7084
   4925.1500   4114.6000     21.8016     19.6412
   6027.0500   4114.6700     20.3440     17.1982
   7287.6200   4115.2800     25.8498     22.9915
   3708.7100   4115.5800     32.6866     23.3927
   6362.3200   4115.4400     25.7430     22.9363
   7203.0100   4115.7000     25.3731     22.3210
   5183.0300   4116.8000     25.9058     23.0024
   7186.6300   4116.8300     24.9885     22.1520
   4696.5400   4117.8800     25.7083     22.6239
   3421.7200   4118.7500     24.6769     21.7838
   4108.1200   4119.8700     24.5905     21.5105
   5959.9800   4119.7100     24.2653     21.3338
   5582.0300   4121.4600     21.9837     18.9312
   6299.0300   4120.9900     24.5976     21.7541
   6371.8400   4121.3000     24.6351     21.7064
   7256.3600   4121.0600     24.6274     21.7988
   7463.7900   4121.1500     24.8414     21.9664
   3952.5200   4121.9300     26.4881     23.5805
   6354.7000   4121.6200     25.7987     23.0222
   6922.7800   4121.6000     25.1982     22.1574
   7305.9900   4122.3100     20.7686     18.9465
   3116.0500   4122.4900     25.9083     22.9298
   5229.8700   4123.2100     26.1765     23.1874
   5947.5500   4122.5300     25.9816     22.8969
   7436.7000   4122.5800     23.7503     20.9894
   4624.0600   4124.1500     25.7526     22.7131
   5504.9900   4124.1000     25.4621     22.5130
   6067.1700   4124.3200     32.6866     23.1179
   6397.7200   4123.8300     26.0176     23.2265
   6991.6800   4123.9700     27.2247     23.6833
   2926.1200   4124.9100     24.6455     21.7446
   5212.8700   4124.8000     27.3423     23.8271
   5852.0900   4125.2700     25.2593     22.1484
   4426.7900   4126.0300     25.0044     21.8643
   4973.7900   4126.2200     25.4174     22.3664
   5337.1000   4126.2500     27.0444     23.4593
   6036.9900   4125.5400     26.5881     23.6573
   5045.8100   4126.9200     26.4241     23.6291
   5002.1800   4127.5100     25.4344     22.3093
   5146.8500   4128.0600     25.7674     23.0004
   6117.9800   4128.3700     24.9341     21.9917
   7018.5000   4128.2600     25.6274     22.7748
   3305.5100   4128.6100     24.2469     21.3784
   4208.4500   4128.7300     25.0353     21.8247
   4471.9100   4129.0200     26.6833     22.7728
   6551.4100   4129.1400     24.1467     21.2488
   7229.1100   4129.3500     24.8426     21.9553
   7468.0700   4128.5100     25.8997     22.8853
   7489.0800   4129.4400     24.2640     21.3878
   7517.4800   4128.5100     26.4810     23.6507
   5842.7700   4130.3000     25.8428     22.9834
   6304.2900   4129.5600     25.0106     22.1187
   4000.7800   4130.9700     25.3516     22.4806
   5478.5300   4131.2800     25.0658     22.1161
   5615.8300   4131.3500     23.6431     20.6699
   6674.3300   4130.8800     24.7641     21.8881
   6999.6000   4130.5000     26.2435     23.1899
   4134.8800   4131.7600     24.9577     22.0473
   5823.5200   4131.9100     27.5362     23.7627
   3314.0500   4133.0700     25.8809     22.9250
   3400.0400   4132.9800     24.7695     21.9245
   4388.3100   4133.1600     25.7724     22.4578
   5644.1800   4134.2100     25.4349     22.3694
   6369.0200   4133.7900     23.9769     21.0882
   7449.2800   4133.5300     25.7749     22.8047
   5498.0400   4135.2000     25.4364     22.5977
   6065.7200   4135.3800     27.6132     22.9476
   6077.0600   4134.8000     26.3740     23.3542
   3043.8700   4136.4300     27.3787     22.7131
   4856.8000   4135.7600     26.3833     23.3107
   5019.5300   4136.1300     24.5085     21.4489
